ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,PERIODO,ESTU_CONSECUTIVO,ESTU_ESTUDIANTE,ESTU_PAIS_RESIDE,ESTU_TIENEETNIA,ESTU_DEPTO_RESIDE,ESTU_COD_RESIDE_DEPTO,ESTU_MCPIO_RESIDE,ESTU_COD_RESIDE_MCPIO,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,COLE_CODIGO_ICFES,COLE_COD_DANE_ESTABLECIMIENTO,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_COD_DANE_SEDE,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_COD_MCPIO_UBICACION,COLE_MCPIO_UBICACION,COLE_COD_DEPTO_UBICACION,COLE_DEPTO_UBICACION,ESTU_PRIVADO_LIBERTAD,ESTU_COD_MCPIO_PRESENTACION,ESTU_MCPIO_PRESENTACION,ESTU_DEPTO_PRESENTACION,ESTU_COD_DEPTO_PRESENTACION,PUNT_GLOBAL,ESTU_NSE_INDIVIDUAL,ESTU_NSE_ESTABLECIMIENTO,ESTU_ESTADOINVESTIGACION,edad,INSE,GLOBAL_CATEGORICO
9,2,1,20194,22539,0,2,0,18,76.0,12,76001.0,4,0,2,1,0,1,1,1,0,1,1,0,1,0,3,1,0,9,10,2,1,0,0,0,66084,376001025015,82,2,0,0,0,2,376001025015,103,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,228,2,3.0,1,16.0,60.4,0
9,2,1,20214,48652,0,2,0,18,76.0,12,76001.0,9,8,0,3,3,1,1,0,1,1,1,1,0,1,1,3,0,4,4,0,2,1,3,1,31294,176001008669,243,2,1,0,0,3,176001008669,242,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,257,2,2.0,1,17.0,53.9,0
9,2,0,20214,55887,0,2,0,18,76.0,12,76001.0,7,9,0,1,2,1,1,1,0,0,0,1,0,0,2,0,0,12,4,0,4,3,0,0,173302,176001008669,243,2,1,0,0,3,176001008669,242,1,1,4,76001,0,76,0,0,76001.0,11,25,76.0,257,1,2.0,1,17.0,45.6,0
9,2,0,20222,68556,0,2,0,18,76.0,12,76001.0,8,10,1,1,4,1,1,1,0,1,1,1,1,0,0,1,0,2,2,0,2,1,3,1,17798,176001001745,212,2,1,0,0,3,176001001745,280,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,272,2,3.0,1,15.0,56.7,0
9,2,1,20194,27119,0,2,0,18,76.0,12,76001.0,9,8,1,1,4,1,0,1,0,1,0,1,1,0,1,3,3,3,11,1,2,1,0,1,118422,176001007115,226,2,1,0,0,3,176001007115,255,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,247,1,2.0,1,17.0,50.5,0
9,2,0,20214,48686,0,2,0,18,76.0,12,76001.0,8,9,2,2,4,1,1,1,0,1,0,0,0,0,0,1,0,12,2,0,3,3,0,0,53033,376001013149,81,2,0,0,0,3,376001013149,102,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,247,1,2.0,1,16.0,51.1,0
9,2,0,20214,55921,0,2,0,18,76.0,12,76001.0,7,6,0,2,4,1,0,1,0,1,0,1,0,0,3,3,0,0,9,1,0,3,0,0,17509,376001001353,311,2,0,0,0,3,376001001353,333,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,215,1,2.0,1,16.0,43.8,0
9,2,1,20202,35101,0,2,0,18,76.0,12,76001.0,6,6,2,2,1,1,1,1,0,1,1,0,0,1,1,1,1,3,11,0,2,2,0,0,48322,176001006071,269,2,1,0,0,3,176001006071,323,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,221,1,3.0,1,16.0,51.0,0
0,2,0,20194,31471,0,2,0,18,76.0,12,76001.0,2,2,2,4,2,1,1,0,0,0,0,0,0,1,2,3,3,9,0,0,2,0,3,1,105262,376001040049,14,2,0,0,0,0,376001040049,25,1,1,3,76001,0,76,0,0,76001.0,11,25,76.0,162,0,3.0,1,34.0,36.6,0
9,2,1,20214,48941,0,2,0,18,76.0,12,76001.0,0,4,2,2,1,1,1,1,0,1,1,0,0,1,1,1,3,7,5,1,4,1,2,1,74674,376001029452,179,2,0,0,0,3,376001029452,200,1,1,1,76001,0,76,0,0,76001.0,11,25,76.0,239,2,3.0,1,16.0,58.6,0
