PERIODO,COLE_COD_DANE_ESTABLECIMIENTO,COLE_COD_DANE_SEDE,PUNT_GLOBAL,edad,ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,ESTU_PAIS_RESIDE,ESTU_DEPTO_RESIDE,ESTU_MCPIO_RESIDE,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_MCPIO_UBICACION,COLE_DEPTO_UBICACION,GLOBAL_CATEGORICO
20214,376002000000.0,376002000000.0,213,17.0,10.0,7.0,0.0,7.0,23.0,16.0,8.0,8.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,6.0,6.0,1.0,2.0,3.0,2.0,1.0,393.0,2.0,0.0,0.0,0.0,0.0,422.0,1.0,1.0,1.0,0.0,0.0,0
20202,376001000000.0,376001000000.0,241,16.0,10.0,7.0,1.0,7.0,23.0,16.0,9.0,7.0,0.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,4.0,11.0,2.0,2.0,4.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,12.0,1.0,1.0,0.0,0.0,0.0,0
20182,176001000000.0,176001000000.0,262,16.0,10.0,7.0,0.0,7.0,23.0,16.0,9.0,8.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,11.0,0.0,4.0,3.0,0.0,0.0,320.0,2.0,1.0,0.0,0.0,3.0,353.0,1.0,1.0,1.0,0.0,0.0,0
20194,176001000000.0,176001000000.0,262,15.0,10.0,7.0,1.0,7.0,23.0,16.0,8.333333333333334,8.666666666666666,1.6666666666666667,1.6666666666666667,2.3333333333333335,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.6666666666666667,7.333333333333333,10.0,0.0,1.6666666666666667,1.6666666666666667,2.0,0.6666666666666666,289.0,2.0,1.0,0.0,0.0,0.0,373.0,1.0,1.0,5.0,0.0,0.0,0
20172,176001000000.0,176001000000.0,183,19.0,0.0,7.0,0.0,7.0,23.0,16.0,2.0,9.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0,11.0,0.0,2.0,1.0,0.0,0.0,346.0,2.0,1.0,0.0,0.0,3.0,316.0,1.0,1.0,3.0,0.0,0.0,0
20191,376001000000.0,376001000000.0,241,16.0,10.0,7.0,1.0,7.0,23.0,16.0,6.0,8.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,12.0,12.0,0.0,0.0,2.0,0.0,0.0,198.0,2.0,0.0,1.0,0.0,0.0,229.0,1.0,1.0,0.0,0.0,0.0,0
20194,176001000000.0,176001000000.0,248,16.0,10.0,7.0,0.0,7.0,23.0,16.0,9.0,7.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,12.0,9.0,1.0,2.0,1.0,0.0,0.0,327.0,2.0,1.0,0.0,0.0,3.0,530.0,1.0,1.0,4.0,0.0,0.0,0
20221,376001000000.0,376001000000.0,231,16.0,10.0,7.0,1.0,7.0,23.0,16.0,10.0,10.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0,10.0,2.0,2.0,2.0,1.0,1.0,0.0,33.0,2.0,0.0,1.0,0.0,0.0,53.0,1.0,1.0,0.0,0.0,0.0,0
20182,176001000000.0,176001000000.0,253,17.0,10.0,7.0,0.0,7.0,23.0,16.0,4.0,8.0,2.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,6.0,9.0,0.0,3.0,1.0,0.0,0.0,295.0,2.0,1.0,0.0,0.0,3.0,332.0,1.0,1.0,1.0,0.0,0.0,0
20222,176001000000.0,176001000000.0,219,17.0,10.0,7.0,0.0,7.0,23.0,16.0,8.0,8.666666666666666,2.0,1.0,4.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.0,1.3333333333333333,2.0,1.0,0.6666666666666666,8.0,8.0,2.0,1.0,1.6666666666666667,2.0,1.0,285.0,2.0,1.0,0.0,0.0,3.0,324.0,1.0,1.0,5.0,0.0,0.0,0
20182,176001000000.0,176001000000.0,272,18.0,0.0,7.0,1.0,7.0,23.0,16.0,8.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,1.0,309.0,2.0,1.0,0.0,0.0,3.0,342.0,1.0,1.0,1.0,0.0,0.0,0
20182,376001000000.0,376001000000.0,233,17.0,10.0,7.0,0.0,7.0,23.0,16.0,7.0,7.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,11.0,0.0,4.0,2.0,0.0,0.0,397.0,2.0,0.0,0.0,0.0,3.0,427.0,1.0,1.0,1.0,0.0,0.0,0
20172,176002000000.0,176002000000.0,224,16.0,10.0,7.0,0.0,7.0,23.0,16.0,8.0,7.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,3.0,11.0,0.0,0.0,4.0,2.0,3.0,323.0,2.0,1.0,0.0,0.0,3.0,454.0,0.0,1.0,1.0,0.0,0.0,0
20214,376001000000.0,376001000000.0,192,16.0,10.0,7.0,1.0,7.0,23.0,16.0,4.0,0.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,10.0,0.0,0.0,2.0,0.0,0.0,411.0,2.0,0.0,0.0,0.0,0.0,439.0,1.0,1.0,1.0,0.0,0.0,0
20182,176001000000.0,176001000000.0,238,20.0,0.0,7.0,0.0,7.0,23.0,16.0,8.0,9.333333333333334,1.0,1.3333333333333333,2.6666666666666665,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,1.0,1.3333333333333333,6.666666666666667,8.666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,309.0,2.0,1.0,0.0,0.0,3.0,342.0,1.0,1.0,4.0,0.0,0.0,0
20182,176002000000.0,176002000000.0,271,17.0,10.0,7.0,1.0,7.0,23.0,16.0,9.0,7.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,5.0,11.0,0.0,0.0,3.0,0.0,0.0,323.0,2.0,1.0,0.0,0.0,1.0,541.0,0.0,1.0,1.0,0.0,0.0,0
20172,176001000000.0,176001000000.0,211,16.0,10.0,7.0,0.0,7.0,23.0,16.0,7.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,288.0,2.0,1.0,0.0,0.0,3.0,327.0,1.0,1.0,1.0,0.0,0.0,0
20194,376001000000.0,376001000000.0,272,16.0,10.0,7.0,0.0,7.0,23.0,16.0,9.0,9.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.333333333333333,5.666666666666667,1.0,0.0,1.0,0.0,0.3333333333333333,140.0,2.0,0.0,0.0,0.0,3.0,167.0,1.0,1.0,0.0,0.0,0.0,0
20222,376001000000.0,376001000000.0,265,15.0,10.0,7.0,0.0,7.0,23.0,16.0,9.0,10.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,3.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,12.0,1.0,1.0,0.0,0.0,0.0,0
20172,376001000000.0,376001000000.0,222,21.0,0.0,7.0,1.0,7.0,5.0,22.0,7.666666666666667,7.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,11.0,8.0,1.0,4.0,0.0,1.0,1.0,399.0,2.0,0.0,0.0,0.0,1.0,429.0,1.0,1.0,1.0,0.0,0.0,0
20182,176001000000.0,176001000000.0,218,16.0,10.0,7.0,1.0,7.0,23.0,16.0,8.0,7.0,2.0,2.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,3.0,4.0,11.0,1.0,2.0,2.0,3.0,1.0,357.0,2.0,1.0,0.0,0.0,3.0,383.0,1.0,1.0,1.0,0.0,0.0,0
20191,376001000000.0,376001000000.0,268,16.0,10.0,7.0,0.0,7.0,23.0,16.0,8.0,6.666666666666667,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,0.0,10.0,10.0,0.0,4.0,1.0,0.0,0.0,174.0,2.0,0.0,1.0,0.0,2.0,205.0,1.0,1.0,1.0,0.0,0.0,0
20214,376001000000.0,376001000000.0,241,17.0,10.0,7.0,1.0,7.0,23.0,16.0,8.0,8.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,6.0,11.0,1.0,2.0,3.0,0.0,0.0,430.0,2.0,0.0,0.0,1.0,3.0,473.0,1.0,1.0,2.0,0.0,0.0,0
20172,176001000000.0,176001000000.0,259,18.0,0.0,7.0,0.0,7.0,23.0,16.0,6.0,6.0,1.0,1.0,2.0,1.0,1.0,0.6666666666666666,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,11.0,11.0,0.0,1.0,1.0,1.0,0.3333333333333333,357.0,2.0,1.0,0.0,0.0,3.0,383.0,1.0,1.0,4.0,0.0,0.0,0
20172,376001000000.0,376001000000.0,230,16.0,10.0,7.0,1.0,7.0,23.0,16.0,8.0,6.0,0.0,2.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,2.0,11.0,1.0,4.0,1.0,0.0,0.0,39.0,1.0,0.0,0.0,0.0,2.0,59.0,1.0,1.0,1.0,0.0,0.0,0
20222,376001000000.0,376001000000.0,162,16.0,10.0,7.0,1.0,7.0,23.0,16.0,2.0,7.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,5.0,0.0,4.0,2.0,1.0,0.3333333333333333,406.0,2.0,0.0,0.0,0.0,0.0,306.0,1.0,1.0,2.0,0.0,0.0,0
20202,376001000000.0,376001000000.0,246,17.0,1.0,33.0,0.0,33.0,23.0,16.0,9.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,2.0,0.0,0.0,0.0,255.0,2.0,0.0,0.0,0.3333333333333333,1.0,288.0,1.0,1.0,1.0,0.0,0.0,0
20181,376001000000.0,376001000000.0,213,17.0,10.0,7.0,1.0,7.0,23.0,16.0,9.0,9.0,2.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,2.0,3.0,11.0,0.0,4.0,0.0,0.0,0.0,265.0,2.0,0.0,1.0,0.0,0.0,302.0,1.0,1.0,4.0,0.0,0.0,0
20201,376001000000.0,376001000000.0,233,17.0,10.0,7.0,0.0,7.0,23.0,16.0,8.0,10.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,6.0,8.0,0.0,4.0,3.0,0.0,0.0,218.0,0.0,0.0,1.0,0.0,3.0,248.0,1.0,1.0,0.0,0.0,0.0,0
20222,176001000000.0,176001000000.0,235,17.0,0.0,7.0,1.0,7.0,23.0,16.0,10.0,10.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,4.0,2.0,0.0,3.0,3.0,0.0,355.0,2.0,1.0,0.0,0.0,3.0,384.0,1.0,1.0,5.0,0.0,0.0,0
20202,176001000000.0,176001000000.0,189,15.0,10.0,7.0,0.0,7.0,23.0,16.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,2.0,2.0,0.0,0.0,344.0,2.0,1.0,0.0,0.0,3.0,374.0,1.0,1.0,4.0,0.0,0.0,0
20222,376001000000.0,376001000000.0,271,16.0,1.0,33.0,1.0,33.0,23.0,16.0,9.0,8.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,1.0,0.0,2.0,8.0,1.0,2.0,0.0,2.0,1.0,0.0,111.0,2.0,0.0,0.0,0.0,3.0,139.0,1.0,1.0,1.0,0.0,0.0,0
20202,176001000000.0,176001000000.0,207,17.0,10.0,7.0,0.0,7.0,23.0,16.0,9.0,8.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,358.0,2.0,1.0,0.0,0.0,3.0,529.0,0.0,1.0,5.0,0.0,0.0,0
20202,276001000000.0,276001000000.0,279,15.0,10.0,7.0,0.0,7.0,23.0,16.0,6.0,10.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,11.0,2.0,0.0,0.0,0.0,3.0,0.0,321.0,2.0,1.0,0.0,0.0,3.0,354.0,1.0,0.0,5.0,0.0,0.0,0
20182,176001000000.0,176001000000.0,212,16.0,10.0,7.0,0.0,7.0,23.0,16.0,0.0,9.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,10.0,11.0,0.0,2.0,3.0,0.0,0.0,277.0,2.0,1.0,0.0,0.0,3.0,317.0,1.0,1.0,4.0,0.0,0.0,0
20182,176001000000.0,176001000000.0,180,17.0,10.0,7.0,0.0,7.0,23.0,16.0,9.0,9.0,1.0,2.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,1.0,4.0,2.0,0.0,0.0,344.0,2.0,1.0,0.0,0.0,3.0,458.0,0.0,1.0,3.0,0.0,0.0,0
20172,376001000000.0,376001000000.0,264,16.0,10.0,7.0,0.0,7.0,23.0,16.0,8.0,8.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,9.0,2.0,0.0,3.0,1.0,0.0,0.0,460.0,2.0,0.0,0.0,0.0,2.0,504.0,1.0,1.0,4.0,0.0,0.0,0
20214,176001000000.0,176001000000.0,273,16.0,10.0,7.0,1.0,7.0,23.0,16.0,5.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,10.0,11.0,0.0,3.0,3.0,0.0,0.0,333.0,2.0,1.0,0.0,0.0,3.0,365.0,1.0,1.0,1.0,0.0,0.0,0
20182,376001000000.0,376001000000.0,244,30.0,0.0,7.0,0.0,7.0,5.0,22.0,4.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,2.0,3.0,4.0,0.0,399.0,2.0,0.0,0.0,0.0,1.0,429.0,1.0,1.0,1.0,0.0,0.0,0
20214,176001000000.0,176001000000.0,245,19.0,0.0,7.0,1.0,7.0,23.0,16.0,8.0,9.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.3333333333333335,1.0,3.0,11.0,1.0,4.0,0.0,0.0,0.0,281.0,2.0,1.0,0.0,0.0,3.0,321.0,1.0,1.0,2.0,0.0,0.0,0
20201,376001000000.0,376001000000.0,217,,10.0,7.0,1.0,7.0,23.0,16.0,8.0,8.0,3.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0,3.0,3.0,11.0,2.0,4.0,3.0,4.0,1.0,66.0,2.0,0.0,1.0,0.0,0.0,92.0,1.0,1.0,1.0,0.0,0.0,0
20182,376001000000.0,376001000000.0,251,15.0,10.0,7.0,1.0,7.0,23.0,16.0,7.0,8.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,9.0,4.0,2.0,0.0,0.0,3.0,1.0,79.0,2.0,0.0,0.0,1.0,2.0,105.0,1.0,1.0,0.0,0.0,0.0,0
20182,176001000000.0,176001000000.0,242,16.0,10.0,7.0,0.0,7.0,23.0,16.0,6.0,6.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,3.0,5.0,5.0,0.0,2.0,2.0,0.0,0.0,341.0,2.0,1.0,0.0,0.0,3.0,372.0,1.0,1.0,4.0,0.0,0.0,0
