PERIODO,COLE_COD_DANE_ESTABLECIMIENTO,COLE_COD_DANE_SEDE,PUNT_GLOBAL,edad,ESTU_TIPODOCUMENTO,ESTU_NACIONALIDAD,ESTU_GENERO,ESTU_PAIS_RESIDE,ESTU_DEPTO_RESIDE,ESTU_MCPIO_RESIDE,FAMI_EDUCACIONPADRE,FAMI_EDUCACIONMADRE,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENESERVICIOTV,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_COMELECHEDERIVADOS,FAMI_COMECARNEPESCADOHUEVO,FAMI_COMECEREALFRUTOSLEGUMBRE,FAMI_TRABAJOLABORPADRE,FAMI_TRABAJOLABORMADRE,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,ESTU_HORASSEMANATRABAJA,ESTU_TIPOREMUNERACION,COLE_NOMBRE_ESTABLECIMIENTO,COLE_GENERO,COLE_NATURALEZA,COLE_CALENDARIO,COLE_BILINGUE,COLE_CARACTER,COLE_NOMBRE_SEDE,COLE_SEDE_PRINCIPAL,COLE_AREA_UBICACION,COLE_JORNADA,COLE_MCPIO_UBICACION,COLE_DEPTO_UBICACION,GLOBAL_CATEGORICO
20214,376002000000.0,376002000000.0,213,17.0,10,7,0,7,23,16,8,8,1,1,2,1,0,1,1,1,0,1,1,0,1,1,3,6,6,1,2,3,2,1,393,2,0,0,0,3,422,1,1,1,0,0,0
20202,376001000000.0,376001000000.0,241,16.0,10,7,1,7,23,16,9,7,0,4,1,0,1,1,1,1,0,1,0,3,1,0,0,4,11,2,2,4,2,0,4,2,0,0,0,2,12,1,1,0,0,0,0
20182,176001000000.0,176001000000.0,262,16.0,10,7,0,7,23,16,9,8,2,1,4,1,1,1,1,1,0,1,1,1,1,3,1,2,11,0,4,3,0,0,320,2,1,0,0,3,353,1,1,1,0,0,0
20194,176001000000.0,176001000000.0,262,15.0,10,7,1,7,23,16,8,8,1,1,4,1,1,1,1,1,0,0,0,0,0,3,0,12,11,0,0,1,0,0,289,2,1,0,0,0,373,1,1,5,0,0,0
20172,176001000000.0,176001000000.0,183,19.0,0,7,0,7,23,16,2,9,1,1,2,0,0,0,0,1,0,0,0,1,1,3,1,0,11,0,2,1,0,0,346,2,1,0,0,3,316,1,1,3,0,0,0
20191,376001000000.0,376001000000.0,241,16.0,10,7,1,7,23,16,6,8,2,1,4,1,1,1,1,1,1,1,1,0,1,3,0,12,12,0,0,2,0,0,198,2,0,1,0,0,229,1,1,0,0,0,0
20194,176001000000.0,176001000000.0,248,16.0,10,7,0,7,23,16,9,7,0,1,5,1,1,1,1,1,0,0,1,0,3,1,1,12,9,1,2,1,0,0,327,2,1,0,0,3,530,1,1,4,0,0,0
20221,376001000000.0,376001000000.0,231,16.0,10,7,1,7,23,16,10,10,2,1,4,1,1,1,1,1,1,1,0,2,1,3,0,10,2,2,2,1,1,0,33,2,0,1,0,0,53,1,1,0,0,0,0
20182,176001000000.0,176001000000.0,253,17.0,10,7,0,7,23,16,4,8,2,3,4,0,0,1,0,1,0,0,0,1,0,0,3,6,9,0,3,1,0,0,295,2,1,0,0,3,332,1,1,1,0,0,0
20222,176001000000.0,176001000000.0,219,17.0,10,7,0,7,23,16,8,8,1,1,4,1,1,1,0,1,1,1,0,0,0,3,0,8,8,2,0,1,2,1,285,2,1,0,0,3,324,1,1,5,0,0,0
20182,176001000000.0,176001000000.0,272,18.0,0,7,1,7,23,16,8,0,1,1,2,1,1,1,1,1,1,1,0,1,1,1,0,3,4,0,0,1,0,1,309,2,1,0,0,3,342,1,1,1,0,0,0
20182,376001000000.0,376001000000.0,233,17.0,10,7,0,7,23,16,7,7,0,2,1,1,1,1,0,1,1,0,0,0,0,3,1,4,11,0,4,2,0,0,397,2,0,0,0,3,427,1,1,1,0,0,0
20172,176002000000.0,176002000000.0,224,16.0,10,7,0,7,23,16,8,7,0,1,2,0,0,1,0,1,0,1,0,2,2,0,2,3,11,0,0,4,2,3,323,2,1,0,0,3,454,0,1,1,0,0,0
20214,376001000000.0,376001000000.0,192,16.0,10,7,1,7,23,16,4,0,3,1,4,1,1,1,1,1,1,1,0,0,1,0,1,3,10,0,0,2,0,0,411,2,0,0,0,0,439,1,1,1,0,0,0
20182,176001000000.0,176001000000.0,238,20.0,0,7,0,7,23,16,8,8,1,1,4,1,1,1,1,1,0,0,0,0,0,3,0,12,11,0,0,1,0,0,309,2,1,0,0,3,342,1,1,4,0,0,0
20182,176002000000.0,176002000000.0,271,17.0,10,7,1,7,23,16,9,7,0,3,0,1,1,1,1,1,0,1,1,0,1,1,1,5,11,0,0,3,0,0,323,2,1,0,0,3,541,0,1,1,0,0,0
